CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,Jon Yang,Male,1/19/2018,Rockhampton
11001,Eugene,Huang,Eugene Huang,Male,1/15/2018,Seaford
11002,Ruben,Torres,Ruben Torres,Male,1/7/2018,Hobart
11003,Christy,Zhu,Christy Zhu,Female,12/29/2017,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,1/23/2018,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,12/30/2017,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,1/24/2018,Matraville
11007,Marco,Mehta,Marco Mehta,Male,1/9/2018,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,1/25/2018,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Male,1/27/2018,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,1/14/2018,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,12/30/2017,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,3/16/2020,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Male,4/13/2020,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,3/23/2020,Redmond
11015,Chloe,Young,Chloe Young,Female,1/18/2020,Burbank
11016,Wyatt,Hill,Wyatt Hill,Male,2/9/2020,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,1/12/2018,Sunbury
11018,Clarence,Rai,Clarence Rai,Male,1/17/2018,Bendigo
11019,Luke,Lal,Luke Lal,Male,2/12/2020,Langley
11020,Jordan,King,Jordan King,Male,12/29/2019,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,1/23/2020,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Male,1/20/2020,Bellingham
11023,Seth,Edwards,Seth Edwards,Male,2/17/2020,Bellflower
11024,Russell,Xie,Russell Xie,Male,6/27/2020,Concord
11025,Alejandro,Beck,Alejandro Beck,Male,1/6/2018,Hawthorne
11026,Harold,Sai,Harold Sai,Male,1/23/2018,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Male,1/16/2018,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,1/26/2018,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Male,1/19/2018,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,2/5/2018,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,2/1/2018,Matraville
11032,Denise,Stone,Denise Stone,Female,2/18/2018,Melbourne
11033,Jaime,Nath,Jaime Nath,Male,2/15/2018,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,2/1/2018,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,2/6/2018,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,1/22/2020,National City
11037,Chloe,Garcia,Chloe Garcia,Female,1/20/2020,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,2/7/2018,Lavender Bay
11039,Marc,Martin,Marc Martin,Male,2/7/2018,Wollongong
11040,Jesse,Murphy,Jesse Murphy,Male,4/3/2020,Tacoma
11041,Amanda,Carter,Amanda Carter,Female,1/14/2020,Glendale
11042,Megan,Sanchez,Megan Sanchez,Female,1/21/2020,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,Male,5/8/2020,Glendale
11044,Adam,Flores,Adam Flores,Male,2/28/2018,Hervey Bay
11045,Leonard,Nara,Leonard Nara,Male,4/10/2020,Matraville
